video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
nhjBZrGRwRc,battle rope training,220,230,223.937271,229.976643,27
nkcSXqDjiGw,battle rope training,21,31,21,28.173841,25
p-FfGCmmvKg,battle rope training,1,11,2.710186,9.0921,3
qCM65vJ2DJw,battle rope training,0,10,0,7.233333,27
qCM65vJ2DJw,battle rope training,0,10,9.533333,10,3
qLNixvfHXIg,battle rope training,6,16,6.068966,15.724138,36
r1B4eCjOsQA,battle rope training,147,157,147,151.818793,10
r1B4eCjOsQA,battle rope training,147,157,152.655389,156.972225,9
r1Y8JuMLABE,battle rope training,6,16,6,10.6,7
sH9L1NgTcSQ,battle rope training,23,33,23,25.458333,5
sM3uTGBNGw8,battle rope training,23,33,26.603604,32.676343,18
t4v60Uown1Y,battle rope training,3,13,3,11.591926,44
t4v60Uown1Y,battle rope training,3,13,11.742075,12.95996,4
u45qCLuwa7I,battle rope training,35,45,42.941275,44.943277,9
u45qCLuwa7I,exercising arm,38,48,45.941275,47.943277,9
vJ_v1mvKl0g,battle rope training,0,10,0,2.713623,14
wcWw3vVjAP8,battle rope training,0,10,7.04,10,8
xCFVQU7cV9I,battle rope training,12,22,13.233333,20.6,19
1SivOp5wzR4,battle rope training,12,22,12,20.508509,9
1d0-R_pKSZg,battle rope training,0,10,1.04,6.76,7
1_upM1fAcag,battle rope training,4,14,4.64,13.6,19
2VOqDdMi3wM,battle rope training,5,15,6.5,9.866667,6
2VOqDdMi3wM,battle rope training,5,15,12,14.966667,5
2rv0vPhN_Tw,battle rope training,27,37,27,37,58
268qJev1jaE,battle rope training,0,10,0,2.8,5
3MD0o9k_NS8,battle rope training,47,57,47,57,44
4Hr__qMhMyE,battle rope training,9,19,9,12.966667,13
41664x2-qJ8,battle rope training,0,10,0,5.005005,12
5-jt3HyflE0,battle rope training,8,18,8,17.542876,44
6mAK1u90BPE,battle rope training,0,10,0,9.783333,15
66806zjlX0Q,battle rope training,99,109,100,103.933333,15
7OUp1pL-Iu0,battle rope training,31,41,31.1,38.14,7
7OUp1pL-Iu0,battle rope training,31,41,38.54,41,5
7eS2fihBToE,battle rope training,3,13,3,12.009009,14
8LXDi2LpoZo,battle rope training,11,21,11,14.355932,13
8LXDi2LpoZo,battle rope training,11,21,15.949153,18.186441,10
888Sm14duJM,battle rope training,4,14,4,13.743076,34
#NAME?,battle rope training,110,120,110,116.283333,31
#NAME?,battle rope training,29,39,29,38.943277,14
#NAME?,battle rope training,7,17,7,17,11
BFPKPjBgXIU,bench pressing,22,32,22,32,3
DnMx7EjjmFo,bench pressing,11,21,14.16,21,5
ExiJ7qKakH4,bench pressing,0,10,0,9.97794,6
E9KZOVuBRfA,bench pressing,35,45,35,45,11
FyYRvnHdOgU,bench pressing,3,13,3.700701,10.07374,5
F4wlWyvtxfo,bench pressing,11,21,16.241379,21,4
GBKkhCC_RB0,bench pressing,36,46,36,45.976643,4
HytyY6-U2Cs,bench pressing,62,72,62,69.18349,2
IG71aOJQR60,bench pressing,7,17,8.7,17,2
KI4qhHcicjQ,bench pressing,28,38,28,38,2
KudgrrM7ep0,bench pressing,15,25,15,21.666667,2
LSZVUPkSswo,bench pressing,8,18,8,14.000135,3
LlhMJGUP2W8,bench pressing,0,10,1.601602,9.209209,2
MLLbKM7T41Y,bench pressing,20,30,20,29.985092,6
MsAZvmo1Nww,bench pressing,16,26,16,23.674341,3
NX5TcYEILhI,bench pressing,0,10,0,8.575242,9
OQG-2AODGnU,bench pressing,16,26,16,25.956361,4
Pc584-1gHSM,bench pressing,25,35,25.270398,33.517542,4
P2hB8qC6a84,bench pressing,16,26,16,25.948946,5
QOGgOFMWd-A,bench pressing,1,11,7.133333,11,3
QfU0gTCDcFg,bench pressing,9,19,9,18.976643,4
Q8hAgtaL-5s,bench pressing,2,12,2,12,5
RANIF8umZiI,bench pressing,16,26,21.4,26,2
RoX6SR6RyL8,bench pressing,0,10,4.8,10,3
Ss7rqrjXGJo,bench pressing,11,21,11,18.707708,10
Ss7rqrjXGJo,bench pressing,11,21,19.074741,20.976643,3
S6vQ1lXVuSo,bench pressing,7,17,7,17,5
TBMZywwPn1Q,bench pressing,4,14,10.4,14,2
T0NBMgnpNBM,bench pressing,39,49,39,48.976643,7
aDMJN5P4frE,bench pressing,41,51,41,51,3
anqK2f6p-bs,bench pressing,0,10,0,10,8
ayf46kiTMe8,bench pressing,0,10,0,5.34813,5
ayf46kiTMe8,bench pressing,0,10,6.284053,9.994318,3
c8u7KHlpLx4,bench pressing,290,300,291.034368,296.57324,2
d8w-VtuwFBA,bench pressing,6,16,11.033333,16,2
ehSg3cfjj6s,bench pressing,611,621,616.438772,620.976643,2
epqJH5Uow30,bench pressing,29,39,29.1001,38.943277,2
fo1u8bJGqGs,bench pressing,170,180,172.335669,179.976643,3
gWszV_R2qsk,bench pressing,3,13,3,13,6
g57EvZXAmAw,bench pressing,4,14,4,11.941275,2
hOKl7sjMeNU,bench pressing,11,21,15.237571,20.976643,4
hiVe2eAjRUw,bench pressing,17,27,17,25.108108,3
k5fWvRy20r0,bench pressing,13,23,13,23,5
lO-QBT_7QqI,bench pressing,7,17,8.801802,14.674341,3
m18y6duHJoE,bench pressing,13,23,13,22.216667,2
nFCFpSgazyU,bench pressing,34,44,34.233333,44,4
sGSKsDVQnN0,bench pressing,15,25,15,19.333333,2
sd4DxaP5yuQ,bench pressing,14,24,14,19,3
ujlIhsqKMI0,bench pressing,13,23,13,19.206206,4
uplZG4ItXHo,bench pressing,22,32,22.8,32,3
wJy2mDcwOus,bench pressing,4,14,4,14,4
yJQ_zMEBxK4,bench pressing,2,12,2,12,3
1bFWbJLYvvs,bench pressing,3,13,3,9.339673,2
3MbLV9MjhUk,bench pressing,3,13,3.5,12.966667,6
32L9h_1yByY,bench pressing,16,26,16,25.976643,3
60ec-oicWyE,bench pressing,38,48,38,45.173841,2
7QAMesOwGe8,bench pressing,13,23,13,23,4
-SFnrG0O-2E,bench pressing,191,201,191,197.57324,2
_j-FyEoQ0jg,bench pressing,182,192,189.173841,191.976643,2
CVPWxOBCp7Y,bouncing ball (not juggling),23,33,25.602603,27.070737,3
DDq_MkrReKk,bouncing ball (not juggling),50,60,50.733333,51.05,2
DKLl6jfqSHY,bouncing ball (not juggling),2,12,2.633967,4.302302,3
DKLl6jfqSHY,bouncing ball (not juggling),2,12,6.904905,9.907908,5
DzGDU949CO0,bouncing ball (not juggling),221,231,223.033333,223.783333,2
D2fP3lx1z1A,bouncing ball (not juggling),4,14,5.9,8.4,12
D2fP3lx1z1A,bouncing ball (not juggling),4,14,12.2,13.966667,5
EECxzwPpbP4,bouncing ball (not juggling),5,15,5.900901,7.869537,2
EECxzwPpbP4,bouncing ball (not juggling),5,15,8.98732,11.07274,8
E2iGLkGeipk,bouncing ball (not juggling),16,26,16,16.5,3
E2iGLkGeipk,bouncing ball (not juggling),16,26,20.1,21.533333,6
FLY2D2gE0qs,bouncing ball (not juggling),605,615,605,614.4,16
FpDag2X2zVA,bouncing ball (not juggling),25,35,25.534813,30.314704,7
FpDag2X2zVA,bouncing ball (not juggling),25,35,32.988769,33.924692,3
F7nJjelg8Yo,bouncing ball (not juggling),0,10,0,9.958333,23
GQJcsl3nwUA,bouncing ball (not juggling),2,12,2.367034,3.835169,7
GQJcsl3nwUA,bouncing ball (not juggling),2,12,10.341675,10.742075,2
GsOoUOMlBP8,bouncing ball (not juggling),8,18,8,15.65,10
HFlwKbbeFXY,bouncing ball (not juggling),18,28,19.766666,24.4,2
H4DNu9OjgKU,bouncing ball (not juggling),0,10,3.069736,9.075742,22
IQyJivv_5KU,bouncing ball (not juggling),8,18,10.8,12.466667,4
IQyJivv_5KU,bouncing ball (not juggling),8,18,15.266667,17.266667,5
Ia75_t6lE0k,bouncing ball (not juggling),56,66,56.966667,57.9,3
Ia75_t6lE0k,bouncing ball (not juggling),56,66,65.066666,65.866666,2
Iuw-aS1Q2RQ,bouncing ball (not juggling),55,65,55.800801,64.376042,5
I6PShxS_Uf8,bouncing ball (not juggling),0,10,0,0.7,4
I6PShxS_Uf8,bouncing ball (not juggling),0,10,9.1,9.666667,4
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,7,9.36,13
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,10.08,14.16,17
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,16.4,17,5
JQdrQHz_JBo,bouncing ball (not juggling),33,43,33,37.2,8
JQdrQHz_JBo,bouncing ball (not juggling),33,43,38.833333,43,9
JuJMk7z6oP4,bouncing ball (not juggling),11,21,12.3,17.133333,9
JuJMk7z6oP4,bouncing ball (not juggling),11,21,18.3,20.966667,5
Jx_U_gg0aBc,bouncing ball (not juggling),15,25,17.766667,20.466667,5
KD0altvGvC4,bouncing ball (not juggling),45,55,47.8,50.366667,9
KS2ZGQnxWXk,bouncing ball (not juggling),8,18,13.633333,17.733334,7
KVuwp_GFu70,bouncing ball (not juggling),118,128,118.966667,123,7
KVuwp_GFu70,bouncing ball (not juggling),118,128,126.566667,127.766667,4
KhDjVeu4Xxo,bouncing ball (not juggling),75,85,77.235569,78.23657,2
Ly3IkZBV45A,bouncing ball (not juggling),0,10,0,10,14
MUIWvu58u4E,bouncing ball (not juggling),89,99,89.867534,91.569236,2
MUIWvu58u4E,bouncing ball (not juggling),89,99,93.771438,97.675342,6
NY9M0VS3Z0A,bouncing ball (not juggling),122,132,122.133333,132,15
NrRfQv3N894,bouncing ball (not juggling),63,73,63.600601,71.942276,16
OcdqxcHMuOU,bouncing ball (not juggling),27,37,27.45,31.95,5
OpbGowuH5R0,bouncing ball (not juggling),7,17,7,7.8,2
OpbGowuH5R0,bouncing ball (not juggling),7,17,11,15.733333,8
Ox2i6bKNK-E,bouncing ball (not juggling),57,67,61.683334,63.116667,3
PkA1NjdgZto,bouncing ball (not juggling),68,78,70.8,72.4,7
PkA1NjdgZto,bouncing ball (not juggling),68,78,76.4,77.966667,6
P7GOGlaCBUc,bouncing ball (not juggling),0,10,1.68,4.8,3
QofwwWhUYPQ,bouncing ball (not juggling),34,44,36.168836,39.438772,2
Q8HjuZ3Hv1k,bouncing ball (not juggling),8,18,10.7,17.066667,3
RLeaNDEMuKM,bouncing ball (not juggling),29,39,29,33.05693,7
RQWRtYYctbQ,bouncing ball (not juggling),0,10,1.966667,9.3,4
S_2Z7IgO88E,bouncing ball (not juggling),1,11,1.133333,6.733333,3
TCgQ9f_6o8w,bouncing ball (not juggling),36,46,39.4,43.666667,9
T94ugTHMwHU,bouncing ball (not juggling),0,10,4,10,5
UcoP26Ka9kE,bouncing ball (not juggling),5,15,8.370037,12.374041,10
V13S-NADB1Y,bouncing ball (not juggling),0,10,4.733333,10,9
cFVvnI30frg,bouncing ball (not juggling),10,20,12.116667,18.9,2
dQjeV03_rys,bouncing ball (not juggling),2,12,2,12,13
eJgBfBcJ90Q,bouncing ball (not juggling),10,20,12.44,20,13
ea1CCha0-S0,bouncing ball (not juggling),37,47,41.08,45.06,8
egNaV5U_EJk,bouncing ball (not juggling),24,34,31.130691,33.952907,3
fST8dwZOAbU,bouncing ball (not juggling),0,10,2.469136,8.942276,4
fVU85a0AhQI,bouncing ball (not juggling),0,10,0,10,29
gJUW_cN5Mz8,bouncing ball (not juggling),33,43,36.13647,37.037371,2
hQxd8tVcPiY,bouncing ball (not juggling),4,14,4,4.866667,2
hQxd8tVcPiY,bouncing ball (not juggling),4,14,8.133333,14,14
hbCwq2eJPjk,bouncing ball (not juggling),15,25,15.7,16.483334,2
hi6lkugoBss,bouncing ball (not juggling),0,10,0.1,1.7,5
hi6lkugoBss,bouncing ball (not juggling),0,10,3.233333,4.566667,5
hi6lkugoBss,bouncing ball (not juggling),0,10,6.5,7.8,4
hy8m8FJ9jS8,bouncing ball (not juggling),0,10,9.1,9.966667,2
iGoQXYmIViU,bouncing ball (not juggling),106,116,106.466667,108.066666,3
iGoQXYmIViU,bouncing ball (not juggling),106,116,109.933333,115.966667,8
iIjLjJgMt-Q,bouncing ball (not juggling),28,38,28,34.606607,20
iYvhmiHnB_Y,bouncing ball (not juggling),21,31,22.1,23.6,3
iYvhmiHnB_Y,bouncing ball (not juggling),21,31,25.2,27.8,6
ic2srH2GS28,bouncing ball (not juggling),336,346,337.5,339.875,6
jcb6Vwwq0N4,bouncing ball (not juggling),57,67,57.8,61.48,6
jfzqnLQWShw,bouncing ball (not juggling),6,16,11.872539,15.309309,6
kXR_MFXsYpQ,bouncing ball (not juggling),140,150,140.4,147.133333,12
kXR_MFXsYpQ,bouncing ball (not juggling),140,150,148.033333,149.966667,3
knvxImBTpZI,bouncing ball (not juggling),1,11,3.696781,10.961234,2
k1Co_gOk7qM,bouncing ball (not juggling),3,13,3,5.328878,4
lEPLsVKWkr0,bouncing ball (not juggling),13,23,15.066667,16.933333,5
lEPLsVKWkr0,bouncing ball (not juggling),13,23,19.066667,22.466667,8
lneaVoAZD6U,bouncing ball (not juggling),51,61,51.116667,53.15,2
l4-nExOlhY8,bouncing ball (not juggling),1,11,5.416666,8.45,3
mPPiAtlUrnI,bouncing ball (not juggling),56,66,56.300832,57.571013,4
mPPiAtlUrnI,bouncing ball (not juggling),56,66,62.284053,63.387104,4
m25SIEETLew,bouncing ball (not juggling),0,10,1.444444,1.962963,4
m25SIEETLew,bouncing ball (not juggling),0,10,7.388889,7.722222,2
nfRHE7TP0EM,bouncing ball (not juggling),39,49,39.533867,42.73707,7
nfRHE7TP0EM,bouncing ball (not juggling),39,49,47.108108,48.976643,3
oG1pIEm7MN4,bouncing ball (not juggling),79,89,80.166667,88.966667,4
pBXY_zi29a0,bouncing ball (not juggling),18,28,20.733333,24.6,8
pEgaEth_fZ8,bouncing ball (not juggling),48,58,48,49.877053,3
pEgaEth_fZ8,bouncing ball (not juggling),48,58,51.016692,57.318228,16
pavLZ-4ajlo,bouncing ball (not juggling),42,52,42.15,48.4,16
pavLZ-4ajlo,bouncing ball (not juggling),42,52,49.8,51.7,5
poNxCziylHM,bouncing ball (not juggling),4,14,4.233333,11.8,17
poNxCziylHM,bouncing ball (not juggling),4,14,13.133333,14,2
psQid1K2CEg,bouncing ball (not juggling),1,11,1,10.333333,6
puqIspQAWeI,bouncing ball (not juggling),0,10,6.67334,9.80981,3
qIIOP4-EzDU,bouncing ball (not juggling),62,72,63.710043,65.878879,7
qIIOP4-EzDU,bouncing ball (not juggling),62,72,70.883884,71.926593,3
qa8_vEtKSaM,bouncing ball (not juggling),0,10,2.366667,7.966667,9
qqwiEed97hc,bouncing ball (not juggling),0,10,0.933333,9.466667,7
q-OrfGaZbn0,bouncing ball (not juggling),0,10,0,5.066667,23
rGXdiiZOjCc,bouncing ball (not juggling),18,28,18,21.069736,5
rMCYWGDKYNI,bouncing ball (not juggling),15,25,15,24.3,21
rP81r5zwqgg,bouncing ball (not juggling),7,17,7,10,3
rP81r5zwqgg,bouncing ball (not juggling),7,17,11.133333,15.866667,5
rY0iplVeaK4,bouncing ball (not juggling),1,11,1,1.667334,3
rY0iplVeaK4,bouncing ball (not juggling),1,11,7.406406,8.941275,5
rfJiT4fjsfU,bouncing ball (not juggling),106,116,112.930958,113.868479,4
rfJiT4fjsfU,bouncing ball (not juggling),106,116,115.308243,115.977901,2
r4BPJGxM4xs,bouncing ball (not juggling),10,20,12.866667,20,9
suosBQ2WBg8,bouncing ball (not juggling),9,19,9,10.2,2
suosBQ2WBg8,bouncing ball (not juggling),9,19,11.333333,16.033333,8
swPcVjBBYMw,bouncing ball (not juggling),0,10,1.133333,4.133333,6
swPcVjBBYMw,bouncing ball (not juggling),0,10,5.95,7.85,3
tF9w3kUTE4Q,bouncing ball (not juggling),3,13,6.533333,7.333333,2
tF9w3kUTE4Q,bouncing ball (not juggling),3,13,11.166667,11.766667,2
tHs-a_9GLrE,bouncing ball (not juggling),5,15,5,9.866667,9
tUoD_bpcsnA,bouncing ball (not juggling),43,53,43.3003,52.576243,18
tnI3itsUgVk,bouncing ball (not juggling),8,18,10.25,16.866667,11
tnI3itsUgVk,bouncing ball (not juggling),8,18,8.95,10.716667,2
twYN_5lYr1Q,bouncing ball (not juggling),7,17,13.1,14,4
tzjjj1LGg1s,bouncing ball (not juggling),8,18,12.077949,16.022195,8
u5huVdZJPmk,bouncing ball (not juggling),41,51,41,50.9,17
vg5WUqsdjwg,bouncing ball (not juggling),24,34,28.733333,30.2,3
vg5WUqsdjwg,bouncing ball (not juggling),24,34,31.533334,32.233333,2
v95whkDim20,bouncing ball (not juggling),0,10,3.033333,6.45,9
v95whkDim20,bouncing ball (not juggling),0,10,7.633333,10,4
AVCbGvltAYg,bouncing on bouncy castle,201,211,203.2,206,3
CNoZJUgAuyY,bouncing on bouncy castle,88,98,88.5,91.033333,4
C46PEaKSOnw,bouncing on bouncy castle,10,20,10,13.066667,5
C46PEaKSOnw,bouncing on bouncy castle,10,20,13.8,16.416666,5
D1KphY1X85c,bouncing on bouncy castle,19,29,19.766667,22.1,3
FF8pR23sRe4,bouncing on bouncy castle,0,10,0,2.2,3
FF8pR23sRe4,bouncing on bouncy castle,0,10,5.266667,8.333333,4
HZaU81kerXI,bouncing on bouncy castle,180,190,180.600601,186.740073,11
HdJO0vQX7q0,bouncing on bouncy castle,121,131,124.603604,128.207207,5
HdJO0vQX7q0,bouncing on bouncy castle,121,131,129.441775,130.976643,3
Kjb3qMyGmZQ,bouncing on bouncy castle,0,10,0,2.369036,4
Kjb3qMyGmZQ,bouncing on bouncy castle,0,10,3.970638,5.338672,2
KpjlvrtILVQ,bouncing on bouncy castle,12,22,16.8,19.52,2
MDFmkkk0ny8,bouncing on bouncy castle,275,285,275,284.968302,3
PXaEZNhr0VE,bouncing on bouncy castle,120,130,123.211813,126.131643,2
P-hSDswDa-E,bouncing on bouncy castle,21,31,21.8,27.133333,9
RD-28m6ml5U,bouncing on bouncy castle,45,55,48.283333,51.566666,4
R8Bkln2zk-o,bouncing on bouncy castle,0,10,2.966667,9.733333,8
SA9yN_ELrCQ,bouncing on bouncy castle,10,20,12.766667,14.366667,3
SGUbyRdI0ag,bouncing on bouncy castle,133,143,133,137.378781,7
S6I2ydEvB8U,bouncing on bouncy castle,0,10,0,2.289934,3
T33tDwsIV1Y,bouncing on bouncy castle,39,49,43.866667,46.666667,4
UQbMXcf79_E,bouncing on bouncy castle,2,12,5.935484,8.451613,3
Uqio3EhWSxE,bouncing on bouncy castle,12,22,15.103103,16.971638,3
VKxg27feG7o,bouncing on bouncy castle,24,34,24,29.1,8
VO8FJT3pEJQ,bouncing on bouncy castle,229,239,234.6,236.76,3
Yxc15QgFSzw,bouncing on bouncy castle,4,14,10.166667,11.7,2
aArFdpY5tBg,bouncing on bouncy castle,112,122,114.777469,116.518017,2
bPHcUPkQKBQ,bouncing on bouncy castle,1,11,3.898732,5.400233,2
bPHcUPkQKBQ,bouncing on bouncy castle,1,11,9.86303,10.968302,2
ccFnHZWZlD0,bouncing on bouncy castle,0,10,0.3,6.4,2
f6tLPRn_Kl4,bouncing on bouncy castle,82,92,87.538872,89.273941,3
gTMt4y-Pcyg,bouncing on bouncy castle,42,52,43.833334,45.166667,3
g6eKKVMFvxw,bouncing on bouncy castle,1,11,6.7,8.333333,3
hamIy7l6Auo,bouncing on bouncy castle,29,39,29.8,32.233334,3
rLEpE2wMzz8,bouncing on bouncy castle,26,36,33,35.04,4
rQwx9MHUk-w,bouncing on bouncy castle,0,10,0,2.802803,4
tbxB9Af6KSM,bouncing on bouncy castle,80,90,82.2,86.133333,7
tsaIyvqVseA,bouncing on bouncy castle,0,10,0,10,13
zH6fvoJGRd8,bouncing on bouncy castle,0,10,1.966667,4.25,2
z1_ynjHX0eg,bouncing on bouncy castle,1,11,1,3.533333,3
0YjMAOLeNK0,bouncing on bouncy castle,16,26,16,18.724138,4
0YjMAOLeNK0,bouncing on bouncy castle,16,26,21.137931,22.844828,2
0YjMAOLeNK0,bouncing on bouncy castle,16,26,23.448276,25.534483,3
0v7kdN3uHj4,bouncing on bouncy castle,85,95,88.7,95,10
1qxShg4V5U0,bouncing on bouncy castle,0,10,0,6.040055,6
1_ZWDUCNNrE,bouncing on bouncy castle,27,37,27,31.013192,4
2H2sbiE4-PA,bouncing on bouncy castle,39,49,40.083333,41.566667,2
3oosOr65SZ0,bouncing on bouncy castle,39,49,39,41.852853,4
5eUtciybtIc,bouncing on bouncy castle,220,230,226.759954,228.85554,2
5-2erbT9u1U,bouncing on bouncy castle,1,11,8.9,11,4
6UN-DuAlgH4,bouncing on bouncy castle,0,10,0.375,3.291667,4
7VLgTRY3QVo,bouncing on bouncy castle,54,64,55.833333,61.1,10
9OkejGPclbg,bouncing on bouncy castle,103,113,107.466667,109.8,3
9v5ZycesS_c,bouncing on bouncy castle,80,90,82.233333,83.616666,3
9v5ZycesS_c,bouncing on bouncy castle,80,90,84.566666,87.883334,6
#NAME?,bouncing on bouncy castle,1,11,1.06,5.64,5
BJ5STOKry58,bouncing on trampoline,175,185,175,180.2,7
BxiUswJL9As,bouncing on trampoline,19,29,19,22.833333,5
CMsLTAo6ftY,bouncing on trampoline,6,16,6,9.133333,3
CMsLTAo6ftY,bouncing on trampoline,6,16,13.366667,16,3
CxWHgrEqJGk,bouncing on trampoline,68,78,68,78,8
DBz9BWw94-M,bouncing on trampoline,0,10,0,5,12
DQnKnXFgKXU,bouncing on trampoline,133,143,133,140.966667,8
D6Ke3UNgSKc,bouncing on trampoline,29,39,37.7,39,2
ECENDkP2itQ,bouncing on trampoline,251,261,251,252.901902,2
ECENDkP2itQ,bouncing on trampoline,251,261,256.372039,260.976643,4
FizTTXZB34A,bouncing on trampoline,101,111,101,110.976643,9
F7k90ZBaWZo,bouncing on trampoline,0,10,0,7.3,9
G28ClK3Zh_k,bouncing on trampoline,1,11,5.838172,10.976643,3
G46Ap_bqhFk,bouncing on trampoline,0,10,5.466667,7.933333,2
IKrP5zmYJh0,bouncing on trampoline,3,13,3,7.283334,6
J2vc7v8B8dI,bouncing on trampoline,0,10,0.9,5.866667,2
KXQM1RATlj8,bouncing on trampoline,0,10,0.533351,4.80016,5
KXQM1RATlj8,bouncing on trampoline,0,10,5.933531,9.966999,4
